"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2022/12/23","GBWLS",3152879,114,3425,16,548,0.583065693430657,0.0165124061941709,0.00771704180064309,0.00307546712624966,0.0237226277372263,0.0127416543764534,0.00338894681960375,0.0048657863802888,0.0072992700729927,0.00712699901552781
"2022/12/24","GBWLS",3152879,114,3425,16,548,0.583065693430657,0.0165124061941709,0.00771704180064309,0.00307546712624966,0.0237226277372263,0.0127416543764534,0.00338894681960375,0.0048657863802888,0.0072992700729927,0.00712699901552781
"2022/12/25","GBWLS",3152879,114,3425,16,548,0.583065693430657,0.0165124061941709,0.00771704180064309,0.00307546712624966,0.0237226277372263,0.0127416543764534,0.00338894681960375,0.0048657863802888,0.0072992700729927,0.00712699901552781
"2022/12/26","GBWLS",3152879,116,3490,17,598,0.583381088825215,0.0163561483398756,0.00755905511811024,0.00301274461609441,0.0234113712374582,0.0121189991896087,0.00334448160535117,0.00462737230239299,0.0117056856187291,0.00862063139028358
"2022/12/27","GBWLS",3152879,110,3147,17,598,0.567206863679695,0.0173105409891929,0.00812146892655367,0.00330558253383148,0.0234113712374582,0.0121189991896087,0.00334448160535117,0.00462737230239299,0.0117056856187291,0.00862063139028358
"2022/12/28","GBWLS",3152879,110,3147,17,598,0.567206863679695,0.0173105409891929,0.00812146892655367,0.00330558253383148,0.0234113712374582,0.0121189991896087,0.00334448160535117,0.00462737230239299,0.0117056856187291,0.00862063139028358
"2022/12/29","GBWLS",3152879,112,3187,16,557,0.570128647631001,0.0171875012611749,0.00835654596100279,0.00332925492599086,0.0287253141831239,0.0138715158400688,0.00410361631187484,0.00530897823451975,0.0125673249551167,0.00925114872750467
"2022/12/30","GBWLS",3152879,108,3091,16,557,0.574247816240699,0.0174311767562486,0.00792507204610951,0.00329846748032697,0.0287253141831239,0.0138715158400688,0.00410361631187484,0.00530897823451975,0.0125673249551167,0.00925114872750467
"2022/12/31","GBWLS",3152879,108,3091,16,557,0.574247816240699,0.0174311767562486,0.00792507204610951,0.00329846748032697,0.0287253141831239,0.0138715158400688,0.00410361631187484,0.00530897823451975,0.0125673249551167,0.00925114872750467
"2023/01/01","GBWLS",3152879,108,3091,16,557,0.574247816240699,0.0174311767562486,0.00792507204610951,0.00329846748032697,0.0287253141831239,0.0138715158400688,0.00410361631187484,0.00530897823451975,0.0125673249551167,0.00925114872750467
"2023/01/02","GBWLS",3152879,114,3241,14,485,0.572354211663067,0.0170326850734041,0.0086475268073331,0.00337507984028258,0.0164948453608247,0.0113354735038913,0.00235640648011782,0.0043150917554503,0.0123711340206186,0.00983736680106134
