date,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
2022/08/12,56.2412831241283,54.4256904691357,58.0568757791209,0.363108206245461,0.138464507751327,0.587751904739595,2.10798816568047,1.56654552067578,2.64943081068517,2.92887029288703,2.31177301734562,3.54596756842844,0.418410041841004,0.182172402004314,0.654647681677694,1.48777895855473,1.0411910981918,1.93436681891766
2022/08/13,56.2412831241283,54.4256904691357,58.0568757791209,0.363108206245461,0.138464507751327,0.587751904739595,2.10798816568047,1.56654552067578,2.64943081068517,2.92887029288703,2.31177301734562,3.54596756842844,0.418410041841004,0.182172402004314,0.654647681677694,1.48777895855473,1.0411910981918,1.93436681891766
2022/08/14,56.2412831241283,54.4256904691357,58.0568757791209,0.363108206245461,0.138464507751327,0.587751904739595,2.10798816568047,1.56654552067578,2.64943081068517,2.92887029288703,2.31177301734562,3.54596756842844,0.418410041841004,0.182172402004314,0.654647681677694,1.48777895855473,1.0411910981918,1.93436681891766
2022/08/15,61.8512898330804,60.1927164507869,63.509863215374,0.605867346938775,0.3342676933953,0.877467000482251,1.02040816326531,0.668669705168063,1.37214662136255,0.611620795107034,0.344392069630242,0.878849520583825,0.0873743993010048,0,0.188643394794488,1.2443095599393,0.865809750412418,1.62280936946619
2022/08/16,61.890243902439,60.2282081915047,63.5522796133733,0.602983179942875,0.33267252585046,0.87329383403529,1.07902253252936,0.718291632036737,1.43975343302197,0.583717357910906,0.322017999079971,0.845416716741842,0.0833881939872723,0,0.182549840170837,1.21951219512195,0.843899877171333,1.59512451307257
2022/08/17,61.890243902439,60.2282081915047,63.5522796133733,0.602983179942875,0.33267252585046,0.87329383403529,1.07902253252936,0.718291632036737,1.43975343302197,0.583717357910906,0.322017999079971,0.845416716741842,0.0833881939872723,0,0.182549840170837,1.21951219512195,0.843899877171333,1.59512451307257
2022/08/18,61.4656488549618,59.7988518959901,63.1324458139335,0.603941513032422,0.33320255404296,0.874680472021885,1.08073744437381,0.719436358959973,1.44203852978764,0.584615384615385,0.322514595171723,0.846716174059046,0.0835164835164835,0,0.182830622320744,1.25190839694656,0.871111789399218,1.63270500449391
2022/08/19,55.9445660102115,54.0863634149927,57.8027686054304,0.751565762004175,0.405673650258265,1.09745787375009,2.17846669459573,1.59284847922676,2.76408490996469,1.75374497625137,1.26198643174189,2.24550352076085,0.260498072314265,0.0697104391755663,0.451285705452963,2.37053245805981,1.80111893209265,2.93994598402697
2022/08/20,55.9445660102115,54.0863634149927,57.8027686054304,0.751565762004175,0.405673650258265,1.09745787375009,2.17846669459573,1.59284847922676,2.76408490996469,1.75374497625137,1.26198643174189,2.24550352076085,0.260498072314265,0.0697104391755663,0.451285705452963,2.37053245805981,1.80111893209265,2.93994598402697
2022/08/21,55.9445660102115,54.0863634149927,57.8027686054304,0.751565762004175,0.405673650258265,1.09745787375009,2.17846669459573,1.59284847922676,2.76408490996469,1.75374497625137,1.26198643174189,2.24550352076085,0.260498072314265,0.0697104391755663,0.451285705452963,2.37053245805981,1.80111893209265,2.93994598402697
2022/08/22,56.3361785948785,54.574860873434,58.097496316323,0.53475935828877,0.264863311266822,0.804655405310718,1.53626295105395,1.08062742613767,1.99189847597022,0.689428759028234,0.395578837291638,0.98327868076483,0.0984898227183191,0,0.209884604242478,1.56143923964698,1.11374975677535,2.00912872251861
